run,trace,image_sha256,take_ms,fresh_ms,detect_ms,call_ms,mrm_state_ms,serve_entry_ms,serve_exit_ms,op_prev_tick_ms,op_brake_tick_ms,brake_pub_ms,stopped_state_ms,resume_take_ms,sigstop_sim_ms,v0_sim_ms_by_stamp,v_at_fault_mps,v_at_brake_mps,alignment_disagreement_ms
w1-demo,build/trace/demo.trace,2879fee4298e41aff7363db37035045d77c270dad63c17c95b4d03fcb5a1232e,38855.014,39301.000,39401.014,39401.014,39401.014,39401.019,39401.019,39370.000,39403.000,39403.000,42101.031,,,,,,
w1-demo2,build/trace/demo2.trace,2879fee4298e41aff7363db37035045d77c270dad63c17c95b4d03fcb5a1232e,37460.004,37902.000,38002.000,38002.000,38002.000,38002.005,38002.005,37984.000,38017.000,38017.000,40801.000,48558.015,,,,,
w1-demo3,build/trace/demo3.trace,070baae6f877da022cfe7a3bcf35233b211321ab48c0c598fd45a7af01cf5223,38974.013,39401.000,39501.016,39501.016,39501.016,39501.021,39501.021,39501.014,39535.000,39535.000,42301.012,50182.011,,,,,
r1,build/trace/w3-r1.trace,070baae6f877da022cfe7a3bcf35233b211321ab48c0c598fd45a7af01cf5223,41183.023,41600.013,41701.000,41701.000,41701.000,41701.006,41701.006,41679.015,41713.000,41713.000,44401.000,52352.006,41264.696,44379.288,4.249,4.235,1.785
r5,build/trace/w3-r5.trace,070baae6f877da022cfe7a3bcf35233b211321ab48c0c598fd45a7af01cf5223,40241.015,40701.000,40802.000,40802.000,40802.000,40802.007,40802.007,40789.000,40823.000,40823.000,43601.000,51541.019,40258.708,43507.624,4.250,4.209,1.079
r6,build/trace/w3-r6.trace,070baae6f877da022cfe7a3bcf35233b211321ab48c0c598fd45a7af01cf5223,39327.015,39800.003,39901.000,39901.000,39901.000,39901.006,39901.006,39898.000,39931.000,39931.000,42701.000,50425.007,39336.979,42609.852,4.254,4.211,0.981
r7,build/trace/w3-r7.trace,070baae6f877da022cfe7a3bcf35233b211321ab48c0c598fd45a7af01cf5223,39423.015,39901.000,40001.000,40001.000,40001.000,40001.006,40001.006,39997.000,40031.000,40031.000,42802.003,50625.010,39451.402,42716.226,4.265,4.224,0.211
